Mean_time	Mean_qlow	Mean_qup	Priors
t_n9_ARCTOIDEA	23.375	20.16	26.6	B( 0.2016,0.2660,0.0250,0.0250)
t_n10	16.113	8.65	24.36	0
t_n11_URSINAE	8.922	6.99	10.86	B(0.0699,0.1086,0.0250,0.0250)
t_n12	7.127	3.4	10.2	0
t_n13	4.741	0.97	8.81	0
t_n14	2.368	0.08	6.65	0
t_n15	3.546	0.16	8.31	0
