Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-4256.76	-4258.01	1.24985	5.253895	1	0.0423387	0.152851	0.0528736	0.119218	0.0167366	0.0508192	0.0312965	0.0470854	0.101319	0.0402896	0.0943394	0.0827511	0.0796773	0.0748246	0.06020895	0.007931258	0.100603	0.340172	0.236351	0.00905872	0.260858	0.0529577	7.861191	0.04023895	-2.809934	0.136954	0.476752	1	2.38629	0.120745	0.254192	0.277502	0.347561	0.0481702	0.8353493
10	-3569.72	-3565.23	-4.48911	4.750453	0.79832	0.0354371	0.149512	0.0282076	0.174546	0.0126795	0.0449406	0.0159764	0.0151064	0.0895875	0.0249796	0.0356929	0.0711531	0.0517202	0.0680036	0.06474564	-0.07465012	0.0846533	0.437709	0.131409	0.00336806	0.331977	0.0108835	6.268972	0.1597907	-2.737289	0.0952012	0.406457	0.956488	2.54185	0.243765	0.294451	0.178	0.283785	0.08514061	1.876786
20	-3389.98	-3389.75	-0.227048	4.737028	0.5264738	0.0361225	0.108383	0.0142565	0.170958	0.00878765	0.0206755	0.0124803	0.0209391	0.0884831	0.0104045	0.0262705	0.0641297	0.0473234	0.0342174	0.04401648	-0.01593537	0.0237012	0.298489	0.0811104	0.00252644	0.59227	0.00190338	7.609581	0.03892012	-3.123191	0.0383933	0.268848	0.838615	2.85414	0.252336	0.305651	0.166612	0.275401	0.02298475	1.693302
30	-3330.74	-3328.53	-2.20591	4.90434	0.3141674	0.0405064	0.124221	0.00931334	0.168427	0.0081576	0.0170789	0.0110299	0.0236943	0.0790991	0.00825902	0.0537859	0.0375154	0.0435953	0.0423936	0.0398383	-0.01714278	0.00974238	0.530567	0.0300489	0.00210995	0.426827	0.00070535	7.855255	0.0516416	-3.222926	0.00651471	0.115552	0.618845	3.25909	0.259125	0.327856	0.156128	0.256891	0.03449882	1.496909
40	-3313.07	-3316.76	3.69384	4.763167	0.2846881	0.0504056	0.144592	0.0119902	0.141516	0.008364	0.0179308	0.0141797	0.0235061	0.0299629	0.00882755	0.0353533	0.0278115	0.0368766	0.0396808	0.03605198	-0.0336636	0.009614	0.481404	0.0276852	0.00290393	0.477922	0.000471074	7.502431	0.0465616	-3.322793	0.00413562	0.0926496	0.569169	3.33405	0.31652	0.300847	0.142184	0.24045	0.012898	3.609985
50	-3296.21	-3299.07	2.85815	4.088239	0.236201	0.0256423	0.0961969	0.0148081	0.122511	0.0100715	0.0222629	0.00748387	0.0227246	0.0299795	0.00515843	0.0183222	0.0207289	0.0243752	0.0472016	0.03529978	-0.04048496	0.0100157	0.516957	0.0167884	0.00301768	0.452997	0.000223611	10.3554	0.05500929	-3.343879	0.00152982	0.0569217	0.471468	3.47008	0.296093	0.300557	0.13659	0.26676	0.01452432	3.78739
60	-3290.49	-3302.22	11.7233	4.088239	0.2013935	0.0406271	0.0508798	0.0158663	0.0981162	0.0188865	0.0252913	0.00985712	0.021075	0.0152947	0.00807706	0.0161572	0.0160231	0.0255493	0.0433012	0.02668789	-0.01013609	0.0174227	0.447868	0.0144941	0.00128185	0.518804	0.000128563	11.01075	0.03678757	-3.623545	0.000557192	0.0345832	0.387285	3.57757	0.279047	0.289739	0.148685	0.282529	0.02665149	1.38032
70	-3284.74	-3298.71	13.9699	2.757428	0.2248303	0.0347236	0.0677985	0.0263049	0.0846906	0.0149064	0.0183881	0.0205212	0.0154247	0.0214749	0.0184559	0.0175326	0.0166885	0.0178182	0.0383782	0.02182093	0.06760015	0.0160522	0.512581	0.00860237	0.00483186	0.457659	0.000274233	10.27054	0.02087609	-3.824886	0.00113848	0.0492153	0.445321	3.50433	0.293802	0.289327	0.139205	0.277666	0.08847625	0.2359514
80	-3298.99	-3307.82	8.8213	3.458598	0.1938505	0.0326608	0.0551065	0.0435096	0.0873947	0.0142898	0.018961	0.0170065	0.0329788	0.0158933	0.0187904	0.0331714	0.0215294	0.0216943	0.0271345	0.01852381	0.001934068	0.00747806	0.553339	0.00979108	0.00837996	0.420758	0.000253485	16.69021	0.07128063	-3.988699	0.0004267	0.0303048	0.367418	3.60185	0.27696	0.30269	0.119275	0.301074	0.0732147	0.9735836
90	-3294.16	-3306.3	12.1466	3.458598	0.202531	0.0214653	0.0552831	0.048575	0.0549295	0.0276651	0.0139887	0.0142408	0.0278808	0.0257042	0.0157817	0.0553866	0.0264732	0.0276257	0.0296128	0.02613847	0.138654	0.00902138	0.519956	0.00611645	0.0153233	0.449109	0.000473881	18.38469	0.01755013	-3.644347	0.000579069	0.0352483	0.390231	3.57394	0.280323	0.341209	0.119024	0.259444	0.1562041	0.1123538
