Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
120	-3292.4	-3300.42	8.02308	2.17371	0.1792969	0.0130056	0.0365924	0.0460102	0.0590973	0.0441839	0.0303896	0.032945	0.0510277	0.0466443	0.0500608	0.0264767	0.130768	0.0227473	0.084351	0.04876717	0.0337727	0.0117691	0.53012	0.00711516	0.0108173	0.433961	0.0062167	7.074952	0.04427935	-3.020698	0.000239278	0.0227501	0.327515	3.6495	0.288019	0.298316	0.130185	0.28348	0.07805205	0.5673054
130	-3290.21	-3296.22	6.00702	2.042581	0.1804157	0.0249853	0.0300497	0.0443905	0.0546807	0.0379888	0.0579642	0.0702334	0.0564777	0.0490688	0.0709807	0.0350541	0.0934476	0.0794703	0.0794679	0.05470471	0.0984089	0.00646507	0.502136	0.0136072	0.00953499	0.464903	0.00335404	7.295573	0.1585265	-2.905805	0.000250991	0.0232959	0.330653	3.6458	0.3011	0.298084	0.13157	0.269246	0.2569354	0.6169898
140	-3297.92	-3306.42	8.4969	2.042581	0.1636999	0.0283901	0.0296746	0.0406124	0.0611957	0.0410017	0.0688813	0.0618009	0.0500931	0.0574848	0.0636404	0.0306408	0.0372758	0.0676529	0.104372	0.04592454	-0.2485999	0.0134929	0.49526	0.0205326	0.00301368	0.464682	0.00301918	7.187792	0.2634758	-3.080756	0.000114801	0.0157971	0.282655	3.70143	0.306569	0.301196	0.131157	0.261078	0.01487589	17.71159
150	-3296.23	-3304.29	8.0534	2.335999	0.1932876	0.044004	0.0210448	0.0375614	0.0355248	0.0425751	0.0406921	0.0480944	0.0680988	0.049226	0.142132	0.0217441	0.0457092	0.0464104	0.122844	0.046571	-0.07743404	0.00667624	0.579465	0.0164144	0.00436506	0.391297	0.00178215	6.409251	0.09024891	-3.066777	0.000417937	0.029995	0.365913	3.60367	0.290599	0.304639	0.137046	0.267717	0.01281486	7.042518
160	-3285.3	-3296.98	11.6785	2.237762	0.1720044	0.0293706	0.0216229	0.0419443	0.0677991	0.0357644	0.0729241	0.0421343	0.0919285	0.0680637	0.0772834	0.0194337	0.030378	0.0345512	0.0573847	0.04805233	-0.02741807	0.0169615	0.565607	0.0116831	0.0148841	0.390271	0.000592471	4.280828	0.05480985	-3.035465	0.00017258	0.0193437	0.306789	3.6737	0.279051	0.31161	0.141718	0.267621	0.02739178	2.00096
170	-3287.19	-3296.99	9.79682	2.180434	0.1685161	0.0416802	0.0224028	0.0394512	0.060768	0.0298753	0.0454749	0.0187472	0.109748	0.112691	0.0506568	0.0174231	0.0269066	0.0689781	0.0236425	0.04861824	0.039611	0.0134746	0.545377	0.00935393	0.00732615	0.423822	0.000646647	4.770023	0.00828926	-3.023756	0.000146135	0.0178098	0.296716	3.68533	0.291316	0.305712	0.12907	0.273902	0.04790026	0.1730525
180	-3291.58	-3302.49	10.909	2.426391	0.1965148	0.0369415	0.0248239	0.0531106	0.0462512	0.0487421	0.0401616	0.0367772	0.120987	0.0351806	0.127171	0.0174961	0.0377745	0.0426793	0.0391027	0.04005216	-0.06966509	0.0186048	0.473037	0.00828573	0.0159131	0.483905	0.000254325	4.541796	0.08443262	-3.217573	0.000469973	0.0317894	0.374501	3.59324	0.278893	0.312328	0.143297	0.265483	0.01476754	5.717448
190	-3289.69	-3297.57	7.87315	2.13999	0.1960288	0.0158884	0.0337366	0.0566905	0.0998037	0.0392	0.0619837	0.0405083	0.0934698	0.018281	0.0370004	0.0251249	0.0856985	0.0499817	0.0388707	0.03584274	-0.009720819	0.0152561	0.536803	0.00722351	0.0127368	0.426873	0.00110678	6.656516	0.05362403	-3.328614	0.000461855	0.0315163	0.373214	3.59481	0.293747	0.297583	0.135285	0.273385	0.04390321	1.221415
200	-3289.89	-3298.96	9.06954	2.184847	0.2040827	0.031907	0.0332941	0.0992815	0.0842724	0.0313431	0.0665314	0.0258376	0.0824404	0.027193	0.0345302	0.0207765	0.0244536	0.0333992	0.0438116	0.04222865	0.1018756	0.013787	0.545876	0.00627643	0.0121465	0.421247	0.000667353	8.016207	0.04720389	-3.164656	0.000609876	0.0361635	0.394229	3.569	0.292663	0.301189	0.120587	0.28556	0.1490794	0.3166358
210	-3296.35	-3301.77	5.41377	2.184847	0.171839	0.0190983	0.0460764	0.070169	0.097768	0.0342132	0.0214602	0.0279181	0.0713496	0.020002	0.0309598	0.017099	0.0967713	0.01862	0.0227523	0.03903796	-0.1132199	0.00701216	0.521114	0.00626261	0.0141068	0.45024	0.00126531	8.550727	0.28144	-3.243221	0.00017125	0.0192696	0.306313	3.67425	0.298314	0.318039	0.142611	0.241036	0.1682201	1.673046
