Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
130	-11.6822	0	-11.6822	24.40499	1.315456	0.0235985	0.0772198	0.119468	0.0687907	0.105806	0.0498359	0.160594	0.0967621	0.0708862	0.207988	0.0672946	0.0868101	0.0744339	0.0718243	0.1031773	-0.08119519	0.0228737	0.417926	0.0389873	0.140021	0.159256	0.220936	28.11998	0.1283089	-2.271306	0.195356	0.55465	1.03746	2.21254	0.152006	0.12736	0.66005	0.060585	0.04711375	2.723386
140	-10.5744	0	-10.5744	28.1289	1.551537	0.0367606	0.133793	0.0948955	0.065031	0.107852	0.0521321	0.124754	0.0880942	0.128832	0.198048	0.0795446	0.100599	0.109537	0.127389	0.08138633	-0.01490818	0.0472638	0.367879	0.262967	0.0507892	0.158031	0.11307	34.95683	0.03259161	-2.508548	0.233175	0.596916	1.05331	2.1166	0.41439	0.358063	0.0669097	0.160638	0.01768344	1.843059
150	-9.30604	0	-9.30604	43.63063	1.695279	0.0287371	0.113881	0.0814278	0.0680033	0.0510412	0.0253434	0.0937719	0.0493989	0.0719201	0.181563	0.0877297	0.0931895	0.0971788	0.141544	0.08124492	-0.01560001	0.0413562	0.38216	0.227078	0.0610369	0.160175	0.128194	44.13475	0.04165808	-2.510287	0.253975	0.618133	1.06009	2.0678	0.166184	0.282875	0.319046	0.231895	0.02605807	1.598663
160	-10.0055	0	-10.0055	24.31054	1.790295	0.038325	0.0928833	0.0650845	0.0360868	0.0860561	0.0516761	0.105527	0.0485214	0.0606925	0.251336	0.187839	0.0702424	0.0617946	0.117436	0.07831995	-0.06441378	0.0394323	0.163014	0.260445	0.020928	0.368318	0.147862	45.84452	0.1271877	-2.546953	0.266889	0.630685	1.06373	2.03869	0.479717	0.408088	0.0580053	0.0541896	0.06277389	2.026124
170	-7.05714	0	-7.05714	5.892247	2.042971	0.061772	0.144428	0.0817378	0.0352654	0.0716953	0.0749429	0.154231	0.049922	0.11378	0.286223	0.197477	0.077195	0.0539245	0.0672021	0.09267595	0.00890822	0.00722317	0.173307	0.509621	0.0214898	0.203933	0.084426	12.74542	0.04360772	-2.378646	0.298351	0.659507	1.07103	1.97111	0.144288	0.378089	0.362689	0.114933	0.05251594	0.8303711
180	-9.8469	0	-9.8469	12.277	2.250005	0.0933741	0.140534	0.100455	0.0427003	0.0617621	0.0780341	0.19377	0.0525015	0.273712	0.205745	0.171693	0.0447904	0.0471763	0.16103	0.08791444	0.1757568	0.0115509	0.0962096	0.313499	0.0272114	0.375307	0.176222	19.21689	0.04248304	-2.431391	0.321397	0.679212	1.07515	1.92424	0.218705	0.207033	0.535295	0.0389671	0.2182399	0.1946621
190	-14.9063	0	-14.9063	28.11749	2.458667	0.114144	0.231861	0.184944	0.133457	0.131859	0.145673	0.169775	0.0734609	0.199703	0.1738	0.0569216	0.0775852	0.0524636	0.187729	0.1204266	0.1107661	0.00878989	0.0700079	0.333174	0.0565853	0.514159	0.0172842	45.40051	0.03868887	-2.116714	0.342503	0.696337	1.07814	1.88302	0.0585285	0.31163	0.22013	0.409712	0.1494549	0.2588665
200	-20.9152	0	-20.9152	28.69537	2.388894	0.128491	0.276438	0.175418	0.0705558	0.11153	0.173338	0.109738	0.111105	0.209707	0.189565	0.0568181	0.137905	0.0575185	0.27579	0.1590971	0.00581734	0.00257351	0.0820931	0.443222	0.0322266	0.429481	0.0104035	40.21223	0.06151585	-1.838241	0.335663	0.690879	1.07725	1.89621	0.0506721	0.577352	0.159505	0.212471	0.06733319	0.9136037
210	-17.2802	0	-17.2802	23.62439	2.926607	0.133818	0.310225	0.170982	0.0643358	0.196862	0.186284	0.108635	0.0826539	0.269335	0.117463	0.0874823	0.11587	0.10417	0.226053	0.1781761	-0.02608167	0.00816794	0.0979361	0.180734	0.323534	0.377268	0.0123601	48.68319	0.08446489	-1.724983	0.383503	0.727382	1.08213	1.80699	0.146524	0.716591	0.0934281	0.0434578	0.05838322	1.446732
220	-23.3489	0	-23.3489	18.96632	2.548762	0.176881	0.368211	0.184341	0.0515802	0.25375	0.195152	0.176612	0.113075	0.276765	0.102395	0.104884	0.08833	0.107748	0.347131	0.1642657	-0.1605363	0.00987836	0.0576199	0.197387	0.273196	0.438998	0.0229205	22.51131	0.2327192	-1.80627	0.351031	0.703027	1.07916	1.86678	0.14443	0.289613	0.176895	0.389063	0.07218292	3.22402
230	-17.0969	0	-17.0969	6.124578	2.051687	0.171811	0.254376	0.172423	0.051089	0.142233	0.202172	0.251259	0.134875	0.225591	0.0846009	0.167222	0.144266	0.0796778	0.391892	0.1648421	-0.08136837	0.0100621	0.0762781	0.473045	0.27639	0.141031	0.0231941	46.80132	0.1594526	-1.802767	0.299367	0.6604	1.07123	1.969	0.0576129	0.364676	0.208743	0.368968	0.07808422	2.042059
240	-18.9125	0	-18.9125	6.543993	2.41674	0.128385	0.495777	0.217508	0.0906336	0.220656	0.29116	0.350966	0.181428	0.168262	0.12667	0.126857	0.133289	0.125235	0.513651	0.1600635	-0.1024843	0.015931	0.150916	0.267426	0.168285	0.361397	0.0360454	39.1228	0.1614877	-1.832185	0.338418	0.693088	1.07762	1.89088	0.576208	0.255136	0.137105	0.031551	0.05900343	2.73692
250	-21.3558	0	-21.3558	1.970765	2.613219	0.0811285	0.644822	0.152471	0.191491	0.306924	0.177748	0.344889	0.144476	0.329648	0.145169	0.211968	0.149782	0.172215	0.707412	0.2251753	-0.08569239	0.0052272	0.162626	0.323822	0.162701	0.23339	0.112234	41.74921	0.1330247	-1.490876	0.356935	0.707583	1.0798	1.85568	0.228518	0.165575	0.392776	0.213131	0.04733227	2.810443
