Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	1.35751	0	1.35751	10.3675	1	0.0147559	0.0122317	0.0148002	0.0384987	0.0431292	0.0858579	0.0578716	0.026825	0.0157421	0.0164613	0.0710439	0.0632349	0.0104609	0.0359715	0.0424322	0.1570643	0.107762	0.116553	0.450479	0.0364167	0.196625	0.0921639	38.46803	0.1192193	-3.159848	0.136954	0.476752	1	2.38629	0.0370039	0.0219321	0.758649	0.182415	0.2762836	0.4315107
10	8.94971	0	8.94971	4.136484	0.8219421	0.0123492	0.0155178	0.0210427	0.0226254	0.0540014	0.0883831	0.0740773	0.0371206	0.0142584	0.0191055	0.0517876	0.0463162	0.0365854	0.0331922	0.03474726	0.273908	0.0532544	0.0489866	0.362362	0.0296406	0.254681	0.251075	44.32982	0.05249446	-3.359654	0.100219	0.41582	0.962854	2.52111	0.182532	0.352838	0.178073	0.286557	0.3264025	0.1608274
20	7.42688	0	7.42688	4.272672	1.399821	0.0108445	0.0249445	0.0253141	0.0121443	0.0703384	0.0793177	0.0579399	0.0201335	0.0194552	0.0173781	0.0368225	0.0507795	0.0341957	0.0311548	0.03180004	0.06828813	0.123753	0.0553715	0.512073	0.0113502	0.261292	0.0361607	10.7254	0.1274667	-3.448288	0.209424	0.570985	1.04395	2.17564	0.255661	0.498788	0.0131448	0.232406	0.1957548	0.6511548
30	11.3225	0	11.3225	0.9192095	1.184863	0.0149689	0.0248186	0.0101336	0.0128664	0.0822891	0.059289	0.0479516	0.0316657	0.0260536	0.0144215	0.0233776	0.055867	0.0384083	0.0206387	0.02602268	0.09768949	0.100063	0.0292809	0.420241	0.0212087	0.30069	0.128517	11.00068	0.1667414	-3.648787	0.172299	0.526046	1.02496	2.2767	0.478271	0.307237	0.0921772	0.122315	0.2644308	0.630567
40	6.04387	0	6.04387	1.502827	1.256012	0.00978069	0.0323817	0.0207911	0.0104925	0.137044	0.0525464	0.0251501	0.0422422	0.022991	0.0109892	0.0293153	0.0511309	0.0644775	0.0123905	0.02499718	0.07823306	0.107305	0.0450827	0.176963	0.042396	0.393926	0.234327	36.47583	0.2079225	-3.688992	0.185057	0.542172	1.03218	2.24059	0.0576736	0.502436	0.352781	0.087109	0.2861556	0.7266065
50	6.94805	0	6.94805	3.276314	1.209779	0.0156372	0.0306868	0.0166872	0.0160422	0.144733	0.0407905	0.0334166	0.0513247	0.0243024	0.0229204	0.0258941	0.0473568	0.0516366	0.022134	0.02691352	0.2449454	0.3569	0.0166567	0.18107	0.0754109	0.14381	0.226152	35.13031	0.1837007	-3.615126	0.176821	0.53185	1.02761	2.26372	0.12893	0.170276	0.0468325	0.653961	0.4286461	0.4285603
60	7.04097	0	7.04097	3.001583	1.526021	0.0173254	0.0234937	0.0190402	0.0193998	0.149041	0.0487785	0.0401283	0.0460405	0.0323537	0.0113547	0.0421425	0.0505332	0.023953	0.0294537	0.03612276	0.08209128	0.313626	0.0139966	0.0781782	0.224294	0.136314	0.233591	32.76985	0.1190581	-3.320832	0.229314	0.592831	1.05191	2.12594	0.486851	0.346864	0.0143748	0.15191	0.2011494	0.591889
70	8.3938	0	8.3938	4.708204	1.534999	0.0237919	0.042502	0.0185263	0.027659	0.0525469	0.0384772	0.0515359	0.0486323	0.0148898	0.0149458	0.0700265	0.0516979	0.0404386	0.0219967	0.02991647	0.09853062	0.19963	0.00812756	0.0209181	0.130857	0.333938	0.306529	29.15126	0.1204636	-3.509346	0.230679	0.59428	1.05241	2.12263	0.408189	0.197402	0.0424002	0.352009	0.2189943	0.5500767
80	7.13011	0	7.13011	7.37578	1.432353	0.0288579	0.03541	0.0293719	0.0218657	0.0720113	0.0196152	0.0314774	0.0320892	0.0152521	0.0199986	0.0445517	0.0634702	0.0418134	0.0199224	0.03934154	0.1483501	0.229367	0.0137257	0.00439345	0.0310655	0.326928	0.394521	21.58628	0.08129926	-3.235474	0.214681	0.576895	1.04619	2.16224	0.734111	0.0281608	0.051205	0.186523	0.2296493	0.3540148
90	5.11479	0	5.11479	5.893136	1.438034	0.0228763	0.0385504	0.037597	0.0149975	0.121966	0.015046	0.036366	0.0368891	0.0391514	0.029123	0.0260455	0.0388544	0.0270262	0.0168671	0.03848813	-0.04001287	0.222353	0.0251975	0.00519337	0.0669984	0.190276	0.489983	37.99067	0.1275255	-3.257406	0.215589	0.577906	1.04657	2.15994	0.309678	0.0663285	0.397596	0.226398	0.08751262	1.457224
