Mean_time	Mean_qlow	Mean_qup	Priors
t_n9_ARCTOIDEA	22.985	20.12	26.51	B( 0.2016,0.2660,0.0250,0.0250)
t_n10	17.828	12.63	23.52	0
t_n11_URSINAE	9.057	7.08	10.85	B(0.0699,0.1086,0.0250,0.0250)
t_n12	8.333	6.23	10.42	0
t_n13	7.723	5.57	9.92	0
t_n14	5.891	3.64	8.36	0
t_n15	2.413	0.93	4.38	0
