Mean_time	Mean_qlow	Mean_qup	Priors
t_n9_ARCTOIDEA	24.355	20.6	26.71	B(0.2016,0.2660,0.0250,0.0250)
t_n10	16.981	12.99	21.81	0
t_n11_URSINAE	7.887	6.88	9.97	B(0.0699,0.1086,0.0250,0.0250)
t_n12	7.33	5.94	9.3	0
t_n13	6.497	5.1	8.36	0
t_n14	5.397	4	7.15	0
t_n15	1.368	0.81	2.1	0
