Mean_time	Mean_qlow	Mean_qup	Priors
t_n9_ARCTOIDEA	47.583	37.02	65.03	B(0.3771,0.6609,0.0250,0.0250)
t_n10	36.332	22.45	55.41	0
t_n11_URSINAE	18.407	10.49	30.58	L(0.0184,0.1000,1.0000,0.0250)
t_n12	16.937	9.64	28.12	0
t_n13	15.692	8.86	26.16	0
t_n14	11.972	6.07	21.02	0
t_n15	4.975	1.75	10.14	0
