Mean_time	Mean_qlow	Mean_qup	Priors
t_n9_ARCTOIDEA	49.455	37.35	65.59	B(0.3771,0.6609,0.0250,0.0250)
t_n10	31.38	18.21	49.82	0
t_n11_URSINAE	14.017	8.11	22.83	L(0.0184,0.1000,1.0000,0.0250)
t_n12	12.913	7.53	20.84	0
t_n13	11.048	6.29	18.02	0
t_n14	8.774	4.72	14.65	0
t_n15	2.382	1.08	4.53	0
