Mean_time	Mean_qlow	Mean_qup	Priors
t_n9_ARCTOIDEA	23.923	20.33	26.66	B(0.2016,0.2660,0.0250,0.0250)
t_n10	16.857	11.93	22.85	0
t_n11_URSINAE	8.249	6.92	10.55	B(0.0699,0.1086,0.0250,0.0250)
t_n12	7.464	5.66	9.77	0
t_n13	6.352	4.59	8.52	0
t_n14	5.032	3.35	7.05	0
t_n15	1.319	0.67	2.3	0
