Mean_time	Mean_qlow	Mean_qup	Priors
t_n9_ARCTOIDEA	23.075	20.13	26.53	B( 0.2016,0.2660,0.0250,0.0250)
t_n10	17.415	11.71	23.56	0
t_n11_URSINAE	8.961	7.04	10.83	B(0.0699,0.1086,0.0250,0.0250)
t_n12	8.235	6.09	10.41	0
t_n13	7.583	5.37	9.89	0
t_n14	5.703	3.37	8.27	0
t_n15	2.371	0.84	4.55	0
