Mean_time	Mean_qlow	Mean_qup	Priors
t_n9_ARCTOIDEA	49.997	37.43	65.72	B(0.3771,0.6609,0.0250,0.0250)
t_n10	31.868	19.8	48.78	0
t_n11_URSINAE	13.891	8.42	22.28	L(0.0184,0.1000,1.0000,0.0250)
t_n12	13.052	7.94	20.83	0
t_n13	11.536	6.94	18.45	0
t_n14	9.532	5.58	15.43	0
t_n15	2.515	1.25	4.61	0
