Mean_time	Mean_qlow	Mean_qup	Priors
t_n9_ARCTOIDEA	47.581	37.04	65.01	B(0.3771,0.6609,0.0250,0.0250)
t_n10	35.076	20.25	54.78	0
t_n11_URSINAE	17.465	9.34	29.65	L(0.0184,0.1000,1.0000,0.0250)
t_n12	16.057	8.6	27.31	0
t_n13	14.798	7.86	25.18	0
t_n14	11.128	5.29	20.04	0
t_n15	4.694	1.5	9.91	0
