Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	alpha_morpho	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	branch_rates_morpho	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-7091.46	-6844.09	-247.372	47.13148	1	0.1728155	0.105894	0.0434068	0.0551965	0.0593783	0.061957	0.0683708	0.113474	0.0478851	0.016426	0.08982	0.059284	0.0378424	0.0211859	0.0543545	0.0799974	0.0520904	0.0456134	0.0582966	0.037154	0.0601726	0.036061	0.0494649	0.0477602	0.0184745	0.0386841	0.0234253	0.0385278	0.0275152	0.0224878	0.033037	0.0699273	0.0560532	0.0348987	0.0299168	0.0600745	0.0399359	0.0297067	0.0226988	0.0342994	0.0105889	0.0587236	0.0355985	0.04084613	0.0685096	0.06719047	0.000183364	0.21996	0.0707944	0.499779	0.0617156	0.147567	47.78508	0.08469996	-3.197943	0	48.70387	0.1168246	0.136954	0.476752	1	2.38629	0.000179212	0.0197093	0.309116	3.671	0.448091	0.0813086	0.203181	0.26742	0.1518904	0.5576385
10	-4647.44	-4442.98	-204.46	41.90898	0.7729157	0.1379137	0.0673179	0.0333195	0.0437909	0.0412377	0.0483924	0.0508269	0.0863316	0.0530235	0.0177887	0.15485	0.0359899	0.03464	0.0475569	0.0312247	0.0585034	0.0561056	0.0380594	0.0434568	0.0435645	0.0292401	0.022024	0.0270771	0.0311012	0.0140125	0.0245343	0.0124848	0.0241516	0.0166126	0.0180511	0.0499778	0.0445447	0.0546492	0.0373076	0.0168578	0.0520321	0.0364403	0.0275624	0.0101809	0.0206074	0.00983411	0.0313422	0.0255068	0.04084613	0.03803673	-0.01898744	0.00065859	0.520749	0.0762127	0.102697	0.240835	0.0588477	43.5353	0.07663541	-3.197943	3	48.73165	0.07680847	0.0897838	0.395997	0.949158	2.56506	2.36571e-05	0.00719677	0.205144	3.78764	0.313706	0.301851	0.143003	0.24144	0.05764797	1.329369
20	-4153.65	-3969.41	-184.242	15.56295	0.5367019	0.2123718	0.072826	0.0524026	0.0259101	0.028634	0.0314855	0.0373959	0.05554	0.0531306	0.017805	0.0984811	0.0294173	0.0225259	0.0888413	0.02701	0.0421567	0.0749068	0.0368719	0.0300983	0.03307	0.0184926	0.0207709	0.0205968	0.017458	0.0101734	0.019128	0.00827479	0.0114036	0.0168852	0.0198081	0.0289578	0.0251059	0.0423283	0.0616803	0.00671609	0.0455574	0.0269378	0.0283305	0.00776091	0.0153764	0.0140184	0.0430094	0.0170101	0.02652323	0.03244964	0.03385935	0.0012393	0.382967	0.0172699	0.0135786	0.552625	0.0323198	35.37947	0.06174523	-3.629734	2	48.52358	0.07680847	0.0403756	0.275202	0.84524	2.83918	0.000794176	0.0412038	0.415169	3.54283	0.278227	0.307779	0.131693	0.282301	0.09560458	0.6458397
30	-4028.92	-3860.6	-168.323	21.84247	0.3887173	0.1502484	0.0738339	0.0350893	0.0280226	0.0137817	0.0344966	0.0462815	0.0496887	0.0426096	0.018899	0.0578432	0.0338078	0.0377646	0.0806305	0.0274352	0.0228564	0.036287	0.0325698	0.0297164	0.0308033	0.013356	0.0180852	0.0142686	0.00873383	0.00505794	0.0203742	0.00533429	0.00991359	0.027303	0.0214067	0.0632642	0.0121869	0.0275716	0.0566676	0.00634598	0.0687309	0.0274606	0.0397731	0.005205	0.0185434	0.0134588	0.0399806	0.0138005	0.02761666	0.04448854	0.0491041	0.00174696	0.420896	0.0139268	0.00800143	0.530919	0.0245102	35.37947	0.0393674	-3.589336	2	46.38621	0.1347979	0.0151209	0.173279	0.718777	3.09282	5.38939e-05	0.0108447	0.242576	3.74653	0.297696	0.292079	0.12098	0.289245	0.0884715	0.4449727
40	-3949.85	-3799.54	-150.309	21.84247	0.3042324	2.231698	0.0884603	0.0175644	0.0381256	0.0154485	0.0514315	0.0243418	0.0818358	0.0266003	0.0334867	0.0707504	0.0296378	0.0405786	0.0592147	0.0178702	0.0123526	0.0404166	0.0410476	0.0233357	0.0211706	0.00850932	0.0219072	0.0190837	0.00797693	0.00695421	0.020066	0.0114317	0.00679619	0.0199393	0.025048	0.0484047	0.0144731	0.0114716	0.0460472	0.00797874	0.0892013	0.0296114	0.0339524	0.00956303	0.00995878	0.00972591	0.0478345	0.0101425	0.02414253	0.02647708	0.01244144	0.00585281	0.402947	0.0150384	0.00233866	0.554163	0.0196604	26.96229	0.06814953	-3.72378	1	46.50966	0.1630037	0.00564491	0.107791	0.602843	3.28372	0.319448	0.677588	1.07484	1.92813	0.297342	0.300918	0.13571	0.266029	0.08059097	0.8456225
50	-3925.98	-3786.97	-139.008	21.84247	0.2189083	1.157322	0.0439355	0.0328431	0.0361999	0.0217279	0.042507	0.0199204	0.0623152	0.0227647	0.0458182	0.0434024	0.0388604	0.0233683	0.0308668	0.0183386	0.0156435	0.0489151	0.042507	0.013255	0.0260881	0.0098315	0.0198882	0.0204624	0.00827166	0.0121967	0.0123968	0.00838321	0.00703356	0.026022	0.020308	0.0519261	0.0104315	0.00777083	0.0349871	0.0116985	0.104623	0.0194468	0.0350217	0.010284	0.00870235	0.013558	0.0322372	0.0176	0.02358437	0.03108393	0.01244144	0.00822368	0.489205	0.0107528	0.0047361	0.474358	0.0127245	26.96229	0.06814953	-3.747171	1	46.94616	0.2032141	0.000964282	0.045346	0.431186	3.5225	0.167234	0.51942	1.02186	2.29149	0.293018	0.302891	0.121427	0.282664	0.08059097	0.8456225
60	-3909.8	-3778.1	-131.702	17.08963	0.2302164	0.7405592	0.0562888	0.0412285	0.0268243	0.0253882	0.0406184	0.0222814	0.0527837	0.0198673	0.0287648	0.0236618	0.0585056	0.0200182	0.0314204	0.0302934	0.0174518	0.0300698	0.0509164	0.0263948	0.0147819	0.00694538	0.0198465	0.0215543	0.00676082	0.00667184	0.0105381	0.00814097	0.00508276	0.0204558	0.0239953	0.0429889	0.0106487	0.0100016	0.0597604	0.01363	0.0751434	0.0156407	0.033258	0.022733	0.00777459	0.0174048	0.0321151	0.0155281	0.02134844	0.02641321	0.02784817	0.0139921	0.432816	0.00825191	0.00505742	0.524425	0.0154573	24.17787	0.05581186	-3.846777	0	48.10611	0.2467669	0.00131429	0.0528228	0.457868	3.48799	0.0828643	0.382055	0.939019	2.59606	0.284013	0.319795	0.121052	0.27514	0.08366003	0.6671269
70	-3863.6	-3756.97	-106.631	8.376759	0.1804516	2.708987	0.0302204	0.0282435	0.0190819	0.0212379	0.0361146	0.0211688	0.0439945	0.021727	0.0212914	0.0216236	0.0294833	0.0274212	0.0296544	0.0127502	0.00690895	0.029604	0.0414473	0.0357667	0.0139208	0.00554336	0.0293515	0.0131921	0.00921428	0.010715	0.0080147	0.0119836	0.0076735	0.0164397	0.0312811	0.0299452	0.0256859	0.00531698	0.0418073	0.0212072	0.0800163	0.018453	0.0653519	0.0181241	0.0144728	0.0110426	0.0235291	0.0151728	0.01828284	0.02178025	0.050204	0.0128918	0.368193	0.00399495	0.00867808	0.59512	0.0111217	27.00265	0.07315885	-4.001792	0	48.95376	0.3541513	0.000251373	0.0233135	0.330753	3.64568	0.365416	0.714026	1.08065	1.83991	0.312174	0.286481	0.135683	0.265662	0.1233629	0.5930379
80	-3860.75	-3753.39	-107.364	7.99927	0.184122	1.924776	0.0176753	0.0282209	0.0194667	0.0231434	0.0434906	0.0399273	0.0677521	0.012647	0.0245361	0.0159411	0.038215	0.0179601	0.0290413	0.0138727	0.00645379	0.0276984	0.0333181	0.0341238	0.0101576	0.00426724	0.033187	0.00820143	0.00656268	0.0141617	0.00870866	0.0113808	0.00701065	0.0257976	0.033814	0.038128	0.0289951	0.00555745	0.0276184	0.0316593	0.0579404	0.0129785	0.0278961	0.0113023	0.0143681	0.00970942	0.0311254	0.0261913	0.0202547	0.02179558	0.02831231	0.0139518	0.4318	0.00178421	0.00466826	0.536648	0.0111485	24.55117	0.0757415	-3.899368	1	46.81817	0.3748582	0.000292823	0.0251469	0.340967	3.63359	0.284127	0.646768	1.06799	2.00112	0.304795	0.286493	0.132337	0.276375	0.1040538	0.727907
90	-3846.48	-3748.4	-98.0825	7.325172	0.173994	1.675656	0.0149069	0.0266938	0.0178844	0.0150145	0.0181594	0.0361601	0.137942	0.0149698	0.021843	0.0131728	0.0294631	0.0386545	0.0495627	0.0181892	0.00715708	0.0338819	0.0418522	0.0260093	0.0116669	0.00547512	0.0287258	0.0116324	0.00729747	0.00807501	0.00921455	0.0136361	0.0101478	0.0253564	0.0376555	0.0377724	0.0317866	0.00728833	0.0190188	0.027416	0.0584558	0.00848136	0.0126723	0.00679745	0.00942364	0.0142427	0.0218487	0.020911	0.01887775	0.0321806	-0.03110639	0.0122401	0.528936	0.00567379	0.00481828	0.437024	0.0113079	27.82356	0.1938446	-3.969771	4	46.6709	0.3529818	0.000189187	0.0202466	0.312489	3.66708	0.251227	0.615403	1.05926	2.07411	0.290008	0.304557	0.138006	0.267429	0.1627382	1.191144
